name,description,BattleIQ,Intelligence,Durability,FIT_FOR,AGILITY,TYPE
#334,A META WAIFU,108%,103%,67%,Action,65%,Yandere
#335,A META WAIFU,90%,71%,104%,Action,112%,Kuudere
#336,A META WAIFU,97%,52%,53%,Ecchi,85%,Dominant
#337,A META WAIFU,99%,22%,76%,rom-com,21%,Maid
#338,A META WAIFU,87%,39%,72%,rom-com,84%,Meganekko
#339,A META WAIFU,43%,89%,98%,Shoujo,103%,Meganekko
#340,A META WAIFU,42%,47%,30%,Harem,107%,Varient
#341,A META WAIFU,17%,41%,75%,Action,98%,Tsundere
#342,A META WAIFU,107%,49%,44%,Shoujo,28%,Catgirl
#343,A META WAIFU,64%,109%,63%,rom-com,100%,Moekko
#344,A META WAIFU,40%,111%,59%,kodomomuke,30%,Otaku
#345,A META WAIFU,24%,25%,112%,rom-com,100%,Volatile
#346,A META WAIFU,38%,115%,25%,LAB,75%,Otaku
#347,A META WAIFU,102%,19%,23%,LAB,110%,Catgirl
#348,A META WAIFU,17%,110%,106%,Shoujo,21%,Otaku
#349,A META WAIFU,35%,114%,98%,kodomomuke,57%,Maid
#350,A META WAIFU,21%,20%,43%,Shoujo,34%,Moekko
#351,A META WAIFU,81%,27%,96%,kodomomuke,100%,Catgirl
#352,A META WAIFU,17%,79%,41%,rom-com,113%,Kuudere
#353,A META WAIFU,109%,34%,87%,Shoujo,54%,Catgirl
#354,A META WAIFU,114%,58%,50%,Ecchi,103%,Idol Singer
#355,A META WAIFU,42%,41%,43%,kodomomuke,111%,Tsundere
#356,A META WAIFU,61%,35%,24%,LAB,102%,Volatile
#357,A META WAIFU,65%,99%,16%,LAB,58%,Moekko
#358,A META WAIFU,36%,83%,70%,LAB,22%,Catgirl
#359,A META WAIFU,74%,19%,97%,Action,78%,Tsundere
#360,A META WAIFU,107%,83%,74%,kodomomuke,45%,Dandere
#361,A META WAIFU,54%,91%,69%,Shoujo,38%,Moekko
#362,A META WAIFU,90%,89%,62%,Action,105%,Varient
#363,A META WAIFU,31%,42%,53%,catGirl,108%,Yandere
#364,A META WAIFU,22%,19%,108%,LAB,97%,Varient
#365,A META WAIFU,114%,79%,98%,catGirl,38%,Kuudere
#366,A META WAIFU,19%,86%,68%,catGirl,47%,Kuudere
#367,A META WAIFU,36%,82%,15%,Shoujo,110%,Otaku
#368,A META WAIFU,111%,47%,37%,Shoujo,59%,Idol Singer
#369,A META WAIFU,21%,74%,28%,LAB,66%,Varient
#370,A META WAIFU,93%,112%,110%,Action,57%,Volatile
#371,A META WAIFU,25%,103%,99%,Action,107%,Otaku
#372,A META WAIFU,98%,44%,43%,Shoujo,40%,Tsundere
#373,A META WAIFU,25%,65%,45%,catGirl,111%,Idol Singer
#374,A META WAIFU,87%,102%,22%,Shoujo,82%,Maid
#375,A META WAIFU,56%,45%,102%,catGirl,72%,Dominant
#376,A META WAIFU,65%,32%,96%,Ecchi,16%,Otaku
#377,A META WAIFU,70%,78%,108%,kodomomuke,93%,Maid
#378,A META WAIFU,47%,35%,69%,kodomomuke,59%,Idol Singer
#379,A META WAIFU,57%,88%,115%,Ecchi,50%,Dandere
#380,A META WAIFU,96%,22%,18%,Action,25%,Meganekko
#381,A META WAIFU,26%,47%,31%,Harem,18%,Dandere
#382,A META WAIFU,60%,106%,31%,LAB,32%,Kuudere
#383,A META WAIFU,46%,45%,89%,catGirl,93%,Volatile
#384,A META WAIFU,101%,50%,102%,Shoujo,86%,Dandere
#385,A META WAIFU,52%,102%,39%,Action,18%,Maid
#386,A META WAIFU,25%,48%,96%,rom-com,24%,Dandere
#387,A META WAIFU,85%,107%,42%,LAB,52%,Moekko
#388,A META WAIFU,115%,53%,92%,Ecchi,28%,Maid
#389,A META WAIFU,54%,24%,44%,Ecchi,49%,Moekko
#390,A META WAIFU,77%,29%,21%,rom-com,23%,Volatile
#391,A META WAIFU,91%,45%,78%,Shoujo,62%,Meganekko
#392,A META WAIFU,85%,92%,32%,Ecchi,15%,Maid
#393,A META WAIFU,16%,56%,36%,kodomomuke,54%,Maid
#394,A META WAIFU,16%,105%,83%,Action,63%,Otaku
#395,A META WAIFU,28%,31%,19%,kodomomuke,97%,Meganekko
#396,A META WAIFU,17%,115%,70%,Ecchi,20%,Maid
#397,A META WAIFU,60%,58%,26%,Harem,99%,Tsundere
#398,A META WAIFU,65%,102%,95%,Harem,17%,Meganekko
#399,A META WAIFU,29%,52%,26%,Ecchi,52%,Tsundere
#400,A META WAIFU,99%,19%,92%,rom-com,104%,Varient
#401,A META WAIFU,79%,95%,71%,rom-com,60%,Yandere
#402,A META WAIFU,109%,68%,17%,Harem,91%,Meganekko
#403,A META WAIFU,109%,63%,24%,Action,58%,Catgirl
#404,A META WAIFU,44%,67%,91%,rom-com,92%,Idol Singer
#405,A META WAIFU,94%,75%,22%,kodomomuke,80%,Kuudere
#406,A META WAIFU,55%,49%,43%,Shoujo,21%,Yandere
#407,A META WAIFU,18%,88%,29%,rom-com,25%,Meganekko
#408,A META WAIFU,87%,44%,50%,LAB,17%,Meganekko
#409,A META WAIFU,64%,24%,42%,Ecchi,59%,Maid
#410,A META WAIFU,32%,36%,79%,kodomomuke,80%,Kuudere
#411,A META WAIFU,115%,40%,43%,Ecchi,92%,Tsundere
#412,A META WAIFU,115%,55%,72%,kodomomuke,50%,Meganekko
#413,A META WAIFU,80%,50%,84%,catGirl,26%,Volatile
#414,A META WAIFU,57%,101%,89%,catGirl,20%,Catgirl
#415,A META WAIFU,103%,104%,81%,Ecchi,71%,Varient
#416,A META WAIFU,91%,82%,93%,kodomomuke,19%,Dominant
#417,A META WAIFU,17%,77%,76%,LAB,73%,Dominant
#418,A META WAIFU,89%,110%,92%,rom-com,36%,Idol Singer
#419,A META WAIFU,50%,63%,69%,Ecchi,64%,Meganekko
#420,A META WAIFU,90%,108%,95%,rom-com,61%,Maid
#421,A META WAIFU,28%,51%,28%,Ecchi,54%,Volatile
#422,A META WAIFU,64%,92%,19%,LAB,17%,Volatile
#423,A META WAIFU,16%,95%,68%,catGirl,111%,Dandere
#424,A META WAIFU,113%,45%,39%,rom-com,74%,Volatile
#425,A META WAIFU,35%,20%,115%,catGirl,39%,Volatile
#426,A META WAIFU,84%,98%,83%,Action,113%,Kuudere
#427,A META WAIFU,36%,92%,51%,Action,69%,Dominant
#428,A META WAIFU,115%,84%,96%,Action,60%,Dominant
#429,A META WAIFU,68%,75%,96%,kodomomuke,24%,Kuudere
#430,A META WAIFU,25%,22%,86%,Action,46%,Moekko
#431,A META WAIFU,79%,65%,50%,LAB,37%,Yandere
#432,A META WAIFU,104%,56%,89%,Shoujo,19%,Tsundere
#433,A META WAIFU,98%,41%,73%,Harem,23%,Moekko
#434,A META WAIFU,39%,71%,105%,Shoujo,86%,Maid
#435,A META WAIFU,68%,54%,88%,LAB,33%,Kuudere
#436,A META WAIFU,60%,100%,72%,Shoujo,111%,Moekko
#437,A META WAIFU,46%,100%,109%,Ecchi,56%,Tsundere
#438,A META WAIFU,77%,95%,42%,kodomomuke,77%,Yandere
#439,A META WAIFU,35%,28%,77%,Shoujo,74%,Volatile
#440,A META WAIFU,35%,38%,110%,kodomomuke,15%,Moekko
#441,A META WAIFU,90%,61%,113%,catGirl,88%,Tsundere
#442,A META WAIFU,15%,17%,89%,Harem,94%,Otaku
#443,A META WAIFU,95%,109%,74%,LAB,80%,Dandere
#444,A META WAIFU,111%,87%,38%,Harem,54%,Volatile
#445,A META WAIFU,16%,19%,81%,Harem,74%,Volatile
#446,A META WAIFU,110%,76%,106%,Harem,46%,Tsundere
#447,A META WAIFU,40%,78%,57%,Harem,96%,Yandere
#448,A META WAIFU,29%,102%,66%,Action,45%,Meganekko
#449,A META WAIFU,77%,62%,93%,Harem,28%,Tsundere
#450,A META WAIFU,42%,108%,21%,rom-com,39%,Otaku
#451,A META WAIFU,32%,40%,102%,catGirl,27%,Tsundere
#452,A META WAIFU,20%,88%,71%,Shoujo,91%,Idol Singer
#453,A META WAIFU,68%,90%,66%,kodomomuke,89%,Otaku
#454,A META WAIFU,81%,53%,112%,LAB,26%,Dandere
#455,A META WAIFU,19%,41%,114%,Harem,19%,Meganekko
#456,A META WAIFU,43%,15%,110%,kodomomuke,29%,Tsundere
#457,A META WAIFU,57%,55%,36%,Action,91%,Yandere
#458,A META WAIFU,86%,64%,113%,LAB,47%,Moekko
#459,A META WAIFU,90%,60%,71%,Shoujo,66%,Volatile
#460,A META WAIFU,90%,44%,62%,catGirl,93%,Tsundere
#461,A META WAIFU,108%,29%,115%,kodomomuke,26%,Tsundere
#462,A META WAIFU,55%,25%,105%,Action,18%,Varient
#463,A META WAIFU,20%,100%,66%,LAB,110%,Dandere
#464,A META WAIFU,38%,76%,91%,rom-com,40%,Yandere
#465,A META WAIFU,20%,41%,18%,LAB,85%,Tsundere
#466,A META WAIFU,55%,57%,73%,Action,109%,Maid
#467,A META WAIFU,69%,38%,93%,Action,26%,Kuudere
#468,A META WAIFU,102%,38%,103%,kodomomuke,92%,Catgirl
#469,A META WAIFU,63%,55%,46%,LAB,37%,Yandere
#470,A META WAIFU,55%,75%,99%,catGirl,110%,Yandere
#471,A META WAIFU,51%,78%,109%,LAB,113%,Varient
#472,A META WAIFU,114%,51%,51%,Action,91%,Otaku
#473,A META WAIFU,93%,101%,62%,Action,107%,Yandere
#474,A META WAIFU,63%,55%,57%,Harem,39%,Moekko
#475,A META WAIFU,114%,19%,81%,Action,109%,Idol Singer
#476,A META WAIFU,70%,44%,42%,Harem,98%,Tsundere
#477,A META WAIFU,40%,96%,101%,catGirl,45%,Dominant
#478,A META WAIFU,87%,57%,110%,Harem,106%,Otaku
#479,A META WAIFU,22%,55%,107%,Harem,115%,Maid
#480,A META WAIFU,81%,68%,56%,kodomomuke,19%,Moekko
#481,A META WAIFU,74%,19%,21%,Harem,24%,Catgirl
#482,A META WAIFU,53%,16%,69%,Ecchi,54%,Catgirl
#483,A META WAIFU,43%,47%,95%,kodomomuke,41%,Volatile
#484,A META WAIFU,40%,29%,24%,Action,53%,Otaku
#485,A META WAIFU,43%,20%,115%,Action,36%,Maid
#486,A META WAIFU,86%,23%,66%,Action,103%,Moekko
#487,A META WAIFU,20%,63%,15%,Ecchi,58%,Moekko
#488,A META WAIFU,63%,31%,17%,catGirl,85%,Idol Singer
#489,A META WAIFU,18%,32%,97%,Harem,19%,Otaku
#490,A META WAIFU,93%,90%,23%,LAB,87%,Catgirl
#491,A META WAIFU,81%,45%,113%,Harem,114%,Meganekko
#492,A META WAIFU,109%,40%,15%,Shoujo,41%,Kuudere
#493,A META WAIFU,25%,77%,84%,Shoujo,25%,Moekko
#494,A META WAIFU,111%,85%,54%,Harem,56%,Dominant
#495,A META WAIFU,27%,42%,24%,catGirl,87%,Maid
#496,A META WAIFU,79%,40%,22%,Harem,110%,Meganekko
#497,A META WAIFU,40%,35%,97%,Action,75%,Varient
#498,A META WAIFU,83%,27%,109%,Harem,20%,Dandere
#499,A META WAIFU,114%,76%,101%,rom-com,19%,Kuudere
#500,A META WAIFU,86%,22%,62%,Shoujo,15%,Dandere
#501,A META WAIFU,62%,52%,44%,kodomomuke,50%,Dandere
#502,A META WAIFU,70%,67%,70%,Harem,90%,Yandere
#503,A META WAIFU,28%,87%,74%,catGirl,67%,Volatile
#504,A META WAIFU,24%,16%,83%,Ecchi,42%,Tsundere
#505,A META WAIFU,101%,84%,25%,LAB,22%,Catgirl
#506,A META WAIFU,39%,43%,68%,Action,61%,Moekko
#507,A META WAIFU,73%,95%,75%,rom-com,110%,Catgirl
#508,A META WAIFU,103%,23%,37%,kodomomuke,34%,Dominant
#509,A META WAIFU,103%,76%,101%,rom-com,86%,Maid
#510,A META WAIFU,33%,67%,111%,rom-com,65%,Meganekko
#511,A META WAIFU,52%,88%,53%,kodomomuke,15%,Volatile
#512,A META WAIFU,37%,33%,63%,Shoujo,77%,Meganekko
#513,A META WAIFU,32%,114%,100%,Shoujo,97%,Dandere
#514,A META WAIFU,17%,86%,32%,Ecchi,81%,Dandere
#515,A META WAIFU,22%,48%,68%,Action,77%,Yandere
#516,A META WAIFU,85%,97%,105%,Harem,98%,Dandere
#517,A META WAIFU,90%,103%,98%,Action,84%,Maid
#518,A META WAIFU,109%,91%,70%,LAB,18%,Meganekko
#519,A META WAIFU,73%,33%,57%,rom-com,108%,Idol Singer
#520,A META WAIFU,48%,72%,107%,catGirl,112%,Yandere
#521,A META WAIFU,26%,114%,26%,Action,98%,Maid
#522,A META WAIFU,16%,103%,19%,Action,32%,Otaku
#523,A META WAIFU,83%,59%,56%,LAB,46%,Catgirl
#524,A META WAIFU,22%,64%,19%,Ecchi,40%,Kuudere
#525,A META WAIFU,51%,110%,61%,Harem,58%,Tsundere
#526,A META WAIFU,43%,23%,56%,kodomomuke,100%,Catgirl
#527,A META WAIFU,16%,33%,44%,Ecchi,25%,Moekko
#528,A META WAIFU,29%,98%,103%,Harem,51%,Otaku
#529,A META WAIFU,53%,79%,33%,kodomomuke,34%,Yandere
#530,A META WAIFU,50%,71%,74%,Harem,34%,Moekko
#531,A META WAIFU,78%,33%,55%,catGirl,74%,Varient
#532,A META WAIFU,102%,47%,87%,catGirl,40%,Otaku
#533,A META WAIFU,52%,30%,113%,Action,93%,Idol Singer
#534,A META WAIFU,31%,102%,53%,LAB,52%,Varient
#535,A META WAIFU,115%,17%,57%,Shoujo,88%,Yandere
#536,A META WAIFU,92%,115%,97%,Shoujo,95%,Tsundere
#537,A META WAIFU,74%,23%,40%,catGirl,76%,Dandere
#538,A META WAIFU,68%,15%,81%,Harem,113%,Catgirl
#539,A META WAIFU,77%,32%,49%,catGirl,41%,Yandere
#540,A META WAIFU,46%,15%,21%,rom-com,106%,Moekko
#541,A META WAIFU,40%,107%,26%,kodomomuke,89%,Meganekko
#542,A META WAIFU,70%,64%,112%,rom-com,43%,Otaku
#543,A META WAIFU,111%,32%,58%,Shoujo,39%,Idol Singer
#544,A META WAIFU,88%,61%,86%,kodomomuke,54%,Meganekko
#545,A META WAIFU,115%,54%,77%,Shoujo,106%,Volatile
#546,A META WAIFU,45%,108%,42%,LAB,104%,Tsundere
#547,A META WAIFU,87%,98%,59%,LAB,38%,Otaku
#548,A META WAIFU,110%,86%,35%,kodomomuke,16%,Varient
#549,A META WAIFU,31%,102%,49%,catGirl,82%,Tsundere
#550,A META WAIFU,87%,100%,22%,Ecchi,104%,Kuudere
#551,A META WAIFU,90%,18%,100%,Harem,33%,Dandere
#552,A META WAIFU,36%,39%,36%,catGirl,113%,Volatile
#553,A META WAIFU,35%,83%,22%,Action,94%,Catgirl
#554,A META WAIFU,75%,47%,113%,Shoujo,100%,Idol Singer
#555,A META WAIFU,92%,17%,48%,Action,79%,Moekko
#556,A META WAIFU,42%,91%,64%,Harem,110%,Idol Singer
#557,A META WAIFU,95%,87%,27%,Harem,20%,Otaku
#558,A META WAIFU,87%,16%,111%,Action,34%,Dandere
#559,A META WAIFU,16%,74%,75%,catGirl,72%,Kuudere
#560,A META WAIFU,73%,88%,16%,Action,91%,Dominant
#561,A META WAIFU,69%,115%,15%,Harem,112%,Dandere
#562,A META WAIFU,38%,94%,86%,Harem,48%,Otaku
#563,A META WAIFU,56%,56%,106%,rom-com,19%,Idol Singer
#564,A META WAIFU,104%,73%,61%,catGirl,88%,Moekko
#565,A META WAIFU,57%,44%,71%,Action,74%,Tsundere
#566,A META WAIFU,80%,64%,64%,LAB,110%,Yandere
#567,A META WAIFU,93%,34%,20%,catGirl,88%,Tsundere
#568,A META WAIFU,80%,80%,58%,Ecchi,36%,Varient
#569,A META WAIFU,73%,99%,79%,Action,110%,Meganekko
#570,A META WAIFU,52%,112%,101%,kodomomuke,15%,Otaku
#571,A META WAIFU,16%,59%,114%,LAB,52%,Kuudere
#572,A META WAIFU,51%,100%,29%,catGirl,68%,Otaku
#573,A META WAIFU,41%,17%,108%,Ecchi,38%,Tsundere
#574,A META WAIFU,73%,111%,56%,catGirl,56%,Kuudere
#575,A META WAIFU,49%,87%,21%,Action,107%,Varient
#576,A META WAIFU,43%,85%,29%,catGirl,82%,Tsundere
#577,A META WAIFU,63%,75%,81%,catGirl,77%,Maid
#578,A META WAIFU,28%,25%,45%,Shoujo,38%,Kuudere
#579,A META WAIFU,73%,72%,81%,Ecchi,68%,Volatile
#580,A META WAIFU,34%,109%,48%,catGirl,21%,Kuudere
#581,A META WAIFU,54%,39%,42%,LAB,90%,Dominant
#582,A META WAIFU,36%,46%,92%,Ecchi,88%,Dandere
#583,A META WAIFU,114%,76%,71%,Action,113%,Kuudere
#584,A META WAIFU,60%,51%,36%,catGirl,54%,Dominant
#585,A META WAIFU,99%,104%,39%,catGirl,33%,Volatile
#586,A META WAIFU,47%,94%,78%,kodomomuke,89%,Varient
#587,A META WAIFU,27%,33%,53%,catGirl,37%,Yandere
#588,A META WAIFU,30%,105%,85%,Shoujo,52%,Volatile
#589,A META WAIFU,112%,104%,16%,LAB,30%,Otaku
#590,A META WAIFU,110%,91%,72%,Harem,95%,Otaku
#591,A META WAIFU,112%,102%,73%,LAB,65%,Kuudere
#592,A META WAIFU,82%,115%,111%,Ecchi,33%,Dominant
#593,A META WAIFU,81%,63%,59%,catGirl,111%,Kuudere
#594,A META WAIFU,62%,35%,78%,Action,72%,Maid
#595,A META WAIFU,24%,49%,104%,rom-com,32%,Kuudere
#596,A META WAIFU,103%,22%,113%,catGirl,46%,Idol Singer
#597,A META WAIFU,74%,96%,70%,Ecchi,61%,Otaku
#598,A META WAIFU,61%,46%,76%,Ecchi,44%,Dandere
#599,A META WAIFU,104%,53%,59%,LAB,81%,Dandere
#600,A META WAIFU,78%,115%,49%,kodomomuke,78%,Moekko
#601,A META WAIFU,93%,94%,113%,Harem,92%,Dandere
#602,A META WAIFU,84%,52%,109%,Harem,85%,Yandere
#603,A META WAIFU,55%,29%,48%,Shoujo,98%,Idol Singer
#604,A META WAIFU,34%,70%,45%,kodomomuke,44%,Yandere
#605,A META WAIFU,23%,50%,51%,Harem,20%,Catgirl
#606,A META WAIFU,100%,38%,74%,rom-com,27%,Idol Singer
#607,A META WAIFU,49%,33%,68%,Shoujo,89%,Maid
#608,A META WAIFU,48%,55%,63%,Action,83%,Dominant
#609,A META WAIFU,95%,64%,24%,Harem,95%,Yandere
#610,A META WAIFU,105%,113%,48%,Harem,113%,Otaku
#611,A META WAIFU,86%,60%,64%,Ecchi,82%,Moekko
#612,A META WAIFU,76%,34%,112%,Shoujo,80%,Dominant
#613,A META WAIFU,62%,17%,26%,Shoujo,64%,Kuudere
#614,A META WAIFU,26%,86%,85%,kodomomuke,15%,Moekko
#615,A META WAIFU,62%,87%,54%,Ecchi,57%,Otaku
#616,A META WAIFU,103%,21%,48%,catGirl,44%,Otaku
#617,A META WAIFU,48%,108%,87%,kodomomuke,29%,Maid
#618,A META WAIFU,26%,114%,73%,kodomomuke,26%,Varient
#619,A META WAIFU,41%,42%,85%,Ecchi,17%,Dominant
#620,A META WAIFU,17%,64%,85%,Action,59%,Yandere
#621,A META WAIFU,26%,60%,61%,kodomomuke,80%,Kuudere
#622,A META WAIFU,110%,45%,90%,Shoujo,48%,Maid
#623,A META WAIFU,26%,29%,67%,LAB,111%,Kuudere
#624,A META WAIFU,15%,34%,63%,catGirl,102%,Meganekko
#625,A META WAIFU,17%,104%,105%,rom-com,98%,Idol Singer
#626,A META WAIFU,15%,42%,31%,Action,15%,Varient
#627,A META WAIFU,17%,48%,77%,Ecchi,23%,Varient
#628,A META WAIFU,18%,75%,92%,Action,110%,Idol Singer
#629,A META WAIFU,90%,104%,55%,Harem,25%,Dominant
#630,A META WAIFU,23%,15%,42%,rom-com,69%,Tsundere
#631,A META WAIFU,77%,34%,21%,Shoujo,73%,Dandere
#632,A META WAIFU,19%,35%,77%,kodomomuke,90%,Moekko
#633,A META WAIFU,25%,91%,22%,catGirl,32%,Catgirl
#634,A META WAIFU,66%,58%,97%,kodomomuke,17%,Tsundere
#635,A META WAIFU,74%,61%,15%,rom-com,95%,Otaku
#636,A META WAIFU,100%,71%,94%,rom-com,109%,Volatile
#637,A META WAIFU,58%,86%,29%,catGirl,78%,Moekko
#638,A META WAIFU,41%,31%,107%,catGirl,54%,Varient
#639,A META WAIFU,94%,101%,42%,Ecchi,38%,Maid
#640,A META WAIFU,100%,36%,67%,LAB,109%,Dandere
#641,A META WAIFU,97%,68%,82%,kodomomuke,115%,Moekko
#642,A META WAIFU,101%,30%,61%,Shoujo,96%,Yandere
#643,A META WAIFU,32%,73%,54%,LAB,42%,Kuudere
#644,A META WAIFU,57%,42%,47%,Harem,28%,Maid
#645,A META WAIFU,99%,22%,100%,LAB,51%,Moekko
#646,A META WAIFU,96%,98%,16%,kodomomuke,66%,Dandere
#647,A META WAIFU,31%,58%,30%,rom-com,98%,Tsundere
#648,A META WAIFU,39%,84%,107%,kodomomuke,82%,Maid
#649,A META WAIFU,89%,103%,102%,Action,115%,Catgirl
#650,A META WAIFU,35%,53%,56%,Ecchi,60%,Maid
#651,A META WAIFU,72%,58%,104%,rom-com,93%,Catgirl
#652,A META WAIFU,64%,44%,65%,Ecchi,97%,Otaku
#653,A META WAIFU,70%,88%,114%,Action,54%,Kuudere
#654,A META WAIFU,17%,99%,31%,Ecchi,72%,Meganekko
#655,A META WAIFU,36%,78%,63%,catGirl,67%,Dandere
#656,A META WAIFU,63%,102%,47%,LAB,27%,Volatile
#657,A META WAIFU,73%,50%,68%,LAB,69%,Catgirl
#658,A META WAIFU,24%,38%,55%,Action,73%,Catgirl
#659,A META WAIFU,20%,57%,50%,Shoujo,93%,Otaku
#660,A META WAIFU,72%,74%,61%,kodomomuke,83%,Meganekko
#661,A META WAIFU,81%,66%,21%,LAB,45%,Tsundere
#662,A META WAIFU,17%,89%,110%,LAB,63%,Catgirl
#663,A META WAIFU,44%,109%,62%,catGirl,17%,Volatile
#664,A META WAIFU,68%,30%,43%,Harem,53%,Maid
#665,A META WAIFU,20%,15%,29%,Ecchi,84%,Dandere
#666,A META WAIFU,58%,25%,106%,Action,47%,Otaku
